Instrument,Total Debt,Accounts Payable (CF),Inventories (CF),Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Tangible Book Value - Utility,"Total Assets, Reported",Total Current Liabilities,Year
2491,333854000.0,3673000.0,-92354000.0,-59047000.0,290630000.0,421883000.0,625441000.0,199454000.0,13333000.0,13333000.0,22328000.0,13333000.0,44184000.0,2712170000.0,0.24679,682318000.0,67003000.0,13333000.0,824895000.0,256938000.0,2008
2491,304504000.0,358000.0,-92673000.0,39314000.0,239299000.0,547687000.0,671799000.0,323325000.0,124337000.0,124337000.0,111823000.0,124337000.0,66999000.0,1317130000.0,2.25476,852392000.0,181719000.0,124337000.0,995124000.0,294398000.0,2009
2491,209087000.0,-26826000.0,5638000.0,165623000.0,155656000.0,465607000.0,444576000.0,436306000.0,242136000.0,242136000.0,128236000.0,242136000.0,55886000.0,2265290000.0,4.45823,843760000.0,202232000.0,242136000.0,880882000.0,178050000.0,2010
2491,173793000.0,3763000.0,-36553000.0,303100000.0,31097000.0,476409000.0,371365000.0,541811000.0,346598000.0,346598000.0,139357000.0,346598000.0,145089000.0,2306090000.0,6.37221,778191000.0,184110000.0,346598000.0,913176000.0,174553000.0,2011
2491,515403000.0,14615000.0,-101797000.0,401363000.0,450677000.0,473677000.0,714489000.0,212905000.0,15918000.0,15918000.0,97808000.0,15918000.0,66425000.0,1716110000.0,0.35854,758155000.0,147416000.0,15918000.0,927394000.0,160616000.0,2012
2491,511466000.0,-2693000.0,-98432000.0,504895000.0,480172000.0,480459000.0,774359000.0,196108000.0,-15041000.0,-15041000.0,100910000.0,-15041000.0,32673000.0,1882380000.0,-0.35725,879759000.0,179443000.0,-15041000.0,970467000.0,214037000.0,2013
2491,604445000.0,-15484000.0,-54832000.0,646339000.0,540849000.0,493077000.0,859717000.0,119548000.0,-77690000.0,-77690000.0,139701000.0,-77690000.0,63220000.0,3057270000.0,-1.99949,997039000.0,235510000.0,-77690000.0,979265000.0,226935000.0,2014
2491,1925418000.0,7036000.0,-41694000.0,744939000.0,1848769000.0,593434000.0,2313680000.0,205131000.0,-1306491000.0,-1306491000.0,99766000.0,-1306491000.0,77439000.0,3195150000.0,-33.76469,1215092000.0,219888000.0,-1306491000.0,2518811000.0,251567000.0,2015
2491,1925418000.0,7036000.0,-41694000.0,744939000.0,1848769000.0,593434000.0,2313680000.0,205131000.0,-1306491000.0,-1306491000.0,99766000.0,-1306491000.0,77439000.0,3195150000.0,-33.76469,1215092000.0,219888000.0,-1306491000.0,2518811000.0,251567000.0,2016
2969,2842200000.0,26300000.0,37000000.0,3701800000.0,2907900000.0,1782400000.0,5273900000.0,2961600000.0,2611200000.0,2611200000.0,450500000.0,2611200000.0,61600000.0,7524070000.0,12.25661,5020100000.0,724700000.0,2611200000.0,8235500000.0,1857800000.0,2000
2969,3045000000.0,92100000.0,-57400000.0,3667900000.0,3066400000.0,1805000000.0,5449200000.0,2821300000.0,2079100000.0,2079100000.0,124200000.0,2079100000.0,94100000.0,9401500000.0,9.7055,5609500000.0,830800000.0,2079100000.0,8270500000.0,1374800000.0,2001
2969,2477700000.0,-75600000.0,2600000.0,3965900000.0,2529500000.0,1684800000.0,4978300000.0,3105800000.0,2721100000.0,2721100000.0,465600000.0,2721100000.0,66200000.0,10657950000.0,12.6291,5857800000.0,669600000.0,2721100000.0,8084100000.0,1352400000.0,2002
2969,2385000000.0,-143900000.0,55100000.0,4312800000.0,2315700000.0,1909300000.0,5034600000.0,3460400000.0,2958400000.0,2958400000.0,525400000.0,2958400000.0,253700000.0,9713600000.0,13.53741,5401200000.0,761100000.0,2958400000.0,8495000000.0,1256200000.0,2003
2969,2510700000.0,-9600000.0,-53200000.0,4516600000.0,2622600000.0,2109500000.0,5691000000.0,3782500000.0,2952600000.0,2952600000.0,397300000.0,2952600000.0,76200000.0,12006450000.0,13.33463,6297300000.0,594500000.0,2952600000.0,9473500000.0,1581200000.0,2004
2969,2393700000.0,-12500000.0,-31000000.0,4887100000.0,2416300000.0,2416900000.0,5596400000.0,4444000000.0,3512100000.0,3512100000.0,604100000.0,3512100000.0,146300000.0,13195330000.0,15.45126,7031900000.0,886400000.0,3512100000.0,10040400000.0,1705600000.0,2005
2969,2493700000.0,-12500000.0,-14100000.0,5317200000.0,2619000000.0,2414700000.0,5863300000.0,4545500000.0,3568500000.0,3568500000.0,711700000.0,3568500000.0,55800000.0,13146500000.0,16.0817,7673000000.0,990800000.0,3568500000.0,10408800000.0,1943200000.0,2006
2969,2849800000.0,-12500000.0,-104700000.0,5743500000.0,2992600000.0,2612600000.0,6256700000.0,4924000000.0,3827100000.0,3827100000.0,723400000.0,3827100000.0,35200000.0,15246330000.0,17.61606,7885000000.0,1041900000.0,3827100000.0,11180700000.0,2323400000.0,2007
3116,46842000.0,0.0,2173000.0,17185000.0,46035000.0,42123000.0,56686000.0,39832000.0,19490000.0,19490000.0,-2414000.0,19490000.0,807000.0,77650000.0,1.01261,66221000.0,-1731000.0,19490000.0,96518000.0,15768000.0,2002
3116,52646000.0,0.0,6351000.0,-2562000.0,47291000.0,28580000.0,60716000.0,23830000.0,5345000.0,5345000.0,-15146000.0,5345000.0,5355000.0,24520000.0,0.2777,41545000.0,-21074000.0,5345000.0,84546000.0,52937000.0,2003
3116,43658000.0,0.0,-2087000.0,-15514000.0,43294000.0,13239000.0,52186000.0,11352000.0,-2790000.0,-2790000.0,-12952000.0,-2790000.0,364000.0,41620000.0,-0.14194,51419000.0,-3565000.0,-2790000.0,63538000.0,43803000.0,2004
3116,39065000.0,-217000.0,2594000.0,-27839000.0,38847000.0,10595000.0,48024000.0,11391000.0,-1481000.0,-1481000.0,-12325000.0,-1481000.0,218000.0,80700000.0,-0.0747,45491000.0,-6336000.0,-1481000.0,59415000.0,11959000.0,2005
3116,10380000.0,-14000.0,-2614000.0,-65301000.0,45166000.0,22393000.0,19596000.0,47326000.0,-3188000.0,-3188000.0,-3026000.0,-3188000.0,4110000.0,122460000.0,-0.12685,50708000.0,1194000.0,-3188000.0,66922000.0,11160000.0,2006
3116,7646000.0,-2351000.0,142000.0,-77992000.0,44845000.0,15694000.0,16062000.0,41033000.0,-7167000.0,-7167000.0,-8609000.0,-7167000.0,791000.0,506660000.0,-0.2595,44484000.0,-6267000.0,-7167000.0,57095000.0,15460000.0,2007
3116,602000.0,1673000.0,-1455000.0,-84798000.0,-21216000.0,39654000.0,11769000.0,70314000.0,61489000.0,61489000.0,-5963000.0,61489000.0,21818000.0,644030000.0,0.71506,71250000.0,-5296000.0,61489000.0,82083000.0,10253000.0,2008
3116,4729000.0,9351000.0,-19361000.0,-103966000.0,-3219000.0,45722000.0,22308000.0,64658000.0,56937000.0,56937000.0,-19168000.0,56937000.0,7948000.0,205420000.0,0.64046,52895000.0,-19815000.0,56937000.0,86966000.0,21000000.0,2009
3116,5332000.0,-5275000.0,932000.0,-111905000.0,4269000.0,40746000.0,20886000.0,61443000.0,55426000.0,55426000.0,-7939000.0,55426000.0,1063000.0,161790000.0,0.61535,93598000.0,-7183000.0,55426000.0,82329000.0,18103000.0,2010
3116,8853000.0,-5509000.0,16996000.0,-137211000.0,7236000.0,26069000.0,30122000.0,38637000.0,34018000.0,34018000.0,-25306000.0,34018000.0,1617000.0,541360000.0,0.37635,75891000.0,-19512000.0,34018000.0,68759000.0,21666000.0,2011
3116,0.0,1608000.0,-5750000.0,-115387000.0,-41623000.0,73613000.0,24364000.0,86752000.0,83630000.0,83630000.0,21824000.0,83630000.0,41623000.0,1055690000.0,0.8899100000000001,86409000.0,11272000.0,83630000.0,111116000.0,21940000.0,2012
3116,100808000.0,2546000.0,-9307000.0,-72374000.0,16846000.0,155949000.0,148937000.0,158208000.0,65507000.0,65507000.0,43013000.0,65507000.0,83962000.0,1275020000.0,0.69001,136920000.0,33266000.0,65507000.0,307145000.0,28289000.0,2013
3116,104637000.0,4489000.0,-15447000.0,-36996000.0,63856000.0,158707000.0,168484000.0,201081000.0,88537000.0,88537000.0,35378000.0,88537000.0,40781000.0,2377530000.0,0.92376,256158000.0,68756000.0,88537000.0,369565000.0,43291000.0,2014
3959,4614000.0,254000.0,0.0,-18557000.0,4381000.0,1807000.0,8921000.0,7166000.0,-4731000.0,-4731000.0,-7379000.0,-4731000.0,233000.0,400000.0,-1.25483,2692000.0,-1340000.0,-4731000.0,16086000.0,5030000.0,2003
3959,7164000.0,0.0,-40000.0,-29836000.0,6163000.0,6613000.0,11447000.0,-3284000.0,-3864000.0,-3864000.0,-11990000.0,-3864000.0,1001000.0,270000.0,-0.74848,287000.0,-3740000.0,-3864000.0,8163000.0,5090000.0,2004
3959,5016000.0,-102000.0,5000.0,-36359000.0,4835000.0,825000.0,9563000.0,-7402000.0,-7402000.0,-7402000.0,-5084000.0,-7402000.0,181000.0,190000.0,-1.34686,143500.0,-1946000.0,-7402000.0,2160000.0,5389000.0,2005
3959,4966000.0,-13000.0,35000.0,-37497000.0,4832000.0,614000.0,7729000.0,-6330000.0,-6330000.0,-6330000.0,-656000.0,-6330000.0,134000.0,120000.0,-1.1518,0.0,-509000.0,-6330000.0,1399000.0,3556000.0,2006
3959,4311000.0,-152000.0,0.0,-37635000.0,3467000.0,858000.0,7122000.0,-6251000.0,-6251000.0,-6251000.0,-138000.0,-6251000.0,844000.0,130000.0,-1.13743,9000.0,174000.0,-6251000.0,869000.0,3336000.0,2007
3959,4311000.0,-152000.0,0.0,-37635000.0,3467000.0,858000.0,7122000.0,-6251000.0,-6251000.0,-6251000.0,-138000.0,-6251000.0,844000.0,110000.0,-1.13743,9000.0,174000.0,-6251000.0,869000.0,3336000.0,2008
3959,4311000.0,-152000.0,0.0,-37635000.0,3467000.0,858000.0,7122000.0,-6251000.0,-6251000.0,-6251000.0,-138000.0,-6251000.0,844000.0,30000.0,-1.13743,9000.0,174000.0,-6251000.0,869000.0,3336000.0,2009
3959,4311000.0,-152000.0,0.0,-37635000.0,3467000.0,858000.0,7122000.0,-6251000.0,-6251000.0,-6251000.0,-138000.0,-6251000.0,844000.0,30000.0,-1.13743,9000.0,174000.0,-6251000.0,869000.0,3336000.0,2010
3959,4311000.0,-152000.0,0.0,-37635000.0,3467000.0,858000.0,7122000.0,-6251000.0,-6251000.0,-6251000.0,-138000.0,-6251000.0,844000.0,60000.0,-1.13743,9000.0,174000.0,-6251000.0,869000.0,3336000.0,2011
3959,4311000.0,-152000.0,0.0,-37635000.0,3467000.0,858000.0,7122000.0,-6251000.0,-6251000.0,-6251000.0,-138000.0,-6251000.0,844000.0,50000.0,-1.13743,9000.0,174000.0,-6251000.0,869000.0,3336000.0,2012
3959,4311000.0,-152000.0,0.0,-37635000.0,3467000.0,858000.0,7122000.0,-6251000.0,-6251000.0,-6251000.0,-138000.0,-6251000.0,844000.0,50000.0,-1.13743,9000.0,174000.0,-6251000.0,869000.0,3336000.0,2013
3959,4311000.0,-152000.0,0.0,-37635000.0,3467000.0,858000.0,7122000.0,-6251000.0,-6251000.0,-6251000.0,-138000.0,-6251000.0,844000.0,50000.0,-1.13743,9000.0,174000.0,-6251000.0,869000.0,3336000.0,2014
4127,0.0,1961000.0,-65150000.0,0.0,-4179000.0,167019000.0,35137000.0,466416000.0,395599000.0,395599000.0,-66479000.0,395599000.0,4179000.0,1589930000.0,2.8598,378416000.0,-65481000.0,395599000.0,501553000.0,31370000.0,2001
4127,0.0,-2547000.0,-8378000.0,0.0,-1998000.0,83360000.0,26626000.0,287661000.0,230055000.0,230055000.0,-318924000.0,230055000.0,1998000.0,961920000.0,1.66308,260451000.0,-317515000.0,230055000.0,314287000.0,22820000.0,2002
4127,180168000.0,36635000.0,-4413000.0,-170193000.0,126810000.0,227396000.0,331936000.0,1014976000.0,74290000.0,74290000.0,-236064000.0,74290000.0,53358000.0,1188700000.0,0.53994,457769000.0,-251370000.0,74290000.0,1346912000.0,147627000.0,2003
4127,316681000.0,5019000.0,-12102000.0,-621609000.0,151187000.0,386095000.0,417493000.0,673175000.0,145480000.0,145480000.0,-451416000.0,145480000.0,165494000.0,1294100000.0,0.97898,617789000.0,-33539000.0,145480000.0,1090668000.0,136816000.0,2004
4127,280000000.0,23036000.0,-21404000.0,-599197000.0,71461000.0,463864000.0,417183000.0,751623000.0,227235000.0,227235000.0,22412000.0,227235000.0,208539000.0,1404770000.0,1.45652,784023000.0,42652000.0,227235000.0,1168806000.0,181251000.0,2005
4127,280000000.0,-1129000.0,2172000.0,-573586000.0,50153000.0,495982000.0,395279000.0,792564000.0,281445000.0,281445000.0,25611000.0,281445000.0,229847000.0,808230000.0,1.77428,792371000.0,50133000.0,281445000.0,1187843000.0,158235000.0,2006
4127,229335000.0,795000.0,-3454000.0,-661739000.0,64436000.0,420843000.0,361403000.0,729093000.0,220118000.0,220118000.0,-88152000.0,220118000.0,164899000.0,1153160000.0,1.36162,773750000.0,-71816000.0,220118000.0,1090496000.0,175620000.0,2007
4127,299335000.0,-16654000.0,-247000.0,-604089000.0,52058000.0,513718000.0,403561000.0,786347000.0,292015000.0,292015000.0,57650000.0,292015000.0,247277000.0,1374250000.0,1.81262,741744000.0,51522000.0,292015000.0,1189908000.0,197223000.0,2008
4127,187616000.0,2110000.0,-16082000.0,-493083000.0,-37488000.0,494656000.0,291883000.0,944216000.0,440799000.0,440799000.0,111006000.0,440799000.0,225104000.0,918330000.0,2.66196,860017000.0,92529000.0,440799000.0,1236099000.0,148740000.0,2009
4127,123348000.0,9219000.0,15678000.0,-465154000.0,-240873000.0,590127000.0,243812000.0,1108779000.0,607641000.0,607641000.0,94983000.0,607641000.0,364221000.0,2474430000.0,3.51614,802577000.0,76293000.0,607641000.0,1352591000.0,196243000.0,2010
4127,74743000.0,42869000.0,-38818000.0,-327860000.0,-378514000.0,789865000.0,247456000.0,1316596000.0,818500000.0,818500000.0,137294000.0,818500000.0,453257000.0,5417960000.0,4.54059,1071849000.0,199665000.0,818500000.0,1564052000.0,204324000.0,2011
