Instrument,CIK Number,Tangible Book Value - Utility,Retained Earnings (Accumulated Deficit),Market Value for Company,Total Debt,Total Current Assets,"Net Income/Starting Line, Cumulative","Total Assets, Reported",NAICS Industry Group Name,Inventories (CF),Company Common Name,Cash and Short Term Investments,Accounts Payable (CF),Net Debt Incl. Pref.Stock & Min.Interest,Delisted Quote Flag,Earnings Before Interest & Taxes (EBIT) (Pvt),Tangible Book Value Per Share,Net Sales,Tangible Book Value - Reported,Total Equity,Pricing Volatility,Depreciation And Amortization,Tangible Book Value - Insurance,Instrument Is Active Flag,Total Liabilities,Tangible Book Value - Banks,Operating Income,Total Current Liabilities
1383729,1383729.0,312682000.0,-108785000.0,1212760000.0,0.0,388148000.0,-38226000.0,607448000.0,Professional and Commercial Equipment and Supplies Merchant Wholesalers,-10591000.0,Fusion-Io LLC,238351000.0,4094000.0,-238351000.0,1.0,,3.1737,432386000.0,312682000.0,490417000.0,,4490000.0,312682000.0,0.0,117031000.0,312682000.0,-36916000.0,83443000.0
1383729,,312682000.0,-108785000.0,1212760000.0,0.0,388148000.0,-38226000.0,607448000.0,,-10591000.0,,238351000.0,4094000.0,-238351000.0,,,3.1737,432386000.0,312682000.0,490417000.0,,4490000.0,312682000.0,,117031000.0,312682000.0,-36916000.0,83443000.0
1121680,1121680.0,-101826000.0,-96931000.0,,0.0,16889000.0,21430000.0,48254000.0,Couriers and Express Delivery Services,,Newgistics Inc,2132000.0,860000.0,105798000.0,,,-1.3383,174562000.0,-101826000.0,19721000.0,,,-101826000.0,,28533000.0,-101826000.0,13387000.0,11303000.0
1121680,,-101826000.0,-96931000.0,,0.0,16889000.0,21430000.0,48254000.0,,,,2132000.0,860000.0,105798000.0,,,-1.3383,174562000.0,-101826000.0,19721000.0,,,-101826000.0,,28533000.0,-101826000.0,13387000.0,11303000.0
1366684,1366684.0,367681000.0,-62734000.0,3442410000.0,316181000.0,864945000.0,13967000.0,1530128000.0,Other Information Services,,HomeAway Inc,813169000.0,2491000.0,-487246000.0,1.0,,3.89017,446762000.0,367681000.0,931808000.0,,25917000.0,367681000.0,0.0,598320000.0,367681000.0,40026000.0,230402000.0
1366684,,367681000.0,-62734000.0,3442410000.0,316181000.0,864945000.0,13967000.0,1530128000.0,,,,813169000.0,2491000.0,-487246000.0,,,3.89017,446762000.0,367681000.0,931808000.0,,25917000.0,367681000.0,,598320000.0,367681000.0,40026000.0,230402000.0
1311230,1311230.0,-82246000.0,-711461000.0,210000.0,174620000.0,67999000.0,-101556000.0,135709000.0,Grain and Oilseed Milling,867000.0,TerraVia Holdings Inc,64031000.0,-690000.0,136242000.0,1.0,,-0.85286,18482000.0,-82246000.0,-56593000.0,,,-82246000.0,0.0,192302000.0,-82246000.0,-72813000.0,16287000.0
1311230,,-82246000.0,-711461000.0,300000.0,174620000.0,67999000.0,-101556000.0,135709000.0,,867000.0,,64031000.0,-690000.0,136242000.0,,,-0.85286,18482000.0,-82246000.0,-56593000.0,,,-82246000.0,,192302000.0,-82246000.0,-72813000.0,16287000.0
1280363,1280363.0,-4673000.0,161000.0,,0.0,37895000.0,3304000.0,52711000.0,Semiconductor and Other Electronic Component Manufacturing,,Apache Design Inc,27227000.0,,-21231000.0,,,-0.421,44047000.0,-4673000.0,10867000.0,,,-4673000.0,,41844000.0,-4673000.0,5676000.0,33249000.0
1280363,,-4673000.0,161000.0,,0.0,37895000.0,3304000.0,52711000.0,,,,27227000.0,,-21231000.0,,,-0.421,44047000.0,-4673000.0,10867000.0,,,-4673000.0,,41844000.0,-4673000.0,5676000.0,33249000.0
