Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
1750,1.0,13809000.0,,AAR Corp,40390000.0,294837000.0,,,1750.0,340212000.0,294837000.0,17887000.0,,874255000.0,,219848000.0,-35034000.0,,242000000.0,0.0,,478123000.0,361642000.0,701854000.0,294837000.0,18531000.0,125392000.0,,,Aerospace Product and Parts Manufacturing,294837000.0,10.94543,179830000.0,,,193639000.0,
1750,,34522000.0,,,-81289000.0,264329000.0,,,,310235000.0,264329000.0,-31749000.0,,638721000.0,,156479000.0,-25261000.0,,164000000.0,,,436656000.0,399964000.0,710199000.0,264329000.0,-58939000.0,150464000.0,,,,264329000.0,8.29398,225702000.0,,,260224000.0,
61478,0.0,421800000.0,,CommScope Connectivity LLC,-1031300000.0,1753300000.0,56600000.0,,61478.0,1893400000.0,1753300000.0,89500000.0,,2402800000.0,,471700000.0,-61700000.0,,3631650000.0,1.0,,1305200000.0,606300000.0,2499700000.0,1753300000.0,-1287700000.0,599400000.0,,,Communications Equipment Manufacturing,1753300000.0,15.49711,-417100000.0,,,4700000.0,
61478,,279400000.0,,,-712100000.0,710200000.0,,,,732200000.0,710200000.0,80600000.0,,819500000.0,,-673300000.0,-77100000.0,,1664800000.0,,,686300000.0,412000000.0,1144200000.0,710200000.0,-980200000.0,397800000.0,,,,710200000.0,6.21767,-252900000.0,,,26500000.0,
319126,1.0,198000.0,,Health Sciences Corp,-1286000.0,1277000.0,,,319126.0,2718000.0,1277000.0,590000.0,,24051000.0,,-8907000.0,-182000.0,,1760000.0,0.0,,6494000.0,5919000.0,8635000.0,1277000.0,-1738000.0,2046000.0,,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1277000.0,68.8781,3817000.0,,,4015000.0,
319126,,516000.0,,,392000.0,1526000.0,,,,2823000.0,1526000.0,331000.0,,20087000.0,,-8823000.0,376000.0,,1390000.0,,,5951000.0,5028000.0,7849000.0,1526000.0,84000.0,3847000.0,,,,1526000.0,82.30852,2358000.0,,,2874000.0,
730469,0.0,72931000.0,,Alpharma LLC,124297000.0,233466000.0,,,730469.0,847887000.0,233466000.0,-50965000.0,,900794000.0,,129132000.0,,,,1.0,,600418000.0,762548000.0,1610435000.0,233466000.0,54865000.0,206438000.0,,,Other Investment Pools and Funds,233466000.0,5.80553,452190000.0,,,525121000.0,
730469,,14735000.0,,,14951000.0,-240200000.0,,,,889756000.0,-240200000.0,-41620000.0,,969286000.0,,81099000.0,,,,,,662521000.0,1500252000.0,2390008000.0,-240200000.0,-37702000.0,345015000.0,,,,-240200000.0,-5.41994,1045857000.0,,,1060592000.0,
6201,1.0,2233000000.0,,American Airlines Group Inc,1381000000.0,5648000000.0,1202000000.0,,6201.0,7176000000.0,5648000000.0,-111000000.0,,19703000000.0,,5950000000.0,,,,0.0,,5179000000.0,19037000000.0,26213000000.0,5648000000.0,770000000.0,6990000000.0,,,Scheduled Air Transportation,5648000000.0,37.14261,4037000000.0,89000000.0,,6270000000.0,
6201,,2488000000.0,,,-2470000000.0,2656000000.0,1404000000.0,,,5373000000.0,2656000000.0,-39000000.0,,18969000000.0,,4188000000.0,,,,,,6571000000.0,27468000000.0,32841000000.0,2656000000.0,-1762000000.0,7512000000.0,,,,2656000000.0,17.18472,8118000000.0,102000000.0,,10606000000.0,
