Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
1070732,1.0,,,Eaton Vance Senior Income Trust,,,,,1070732.0,,,,,,,,,,281910000.0,0.0,,,,,,,,,,Other Investment Pools and Funds,,,,,,,
1070732,,,,,,,,,,,,,,,,,,,278600000.0,,,,,,,,,,,,,,,,,,
1071426,,,,Mediaone Finance Trust Iii,,,,,1071426.0,,,,,,,,,,,,,,,,,,,,,Other Investment Pools and Funds,,,,,,,
1061580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13372,1.0,12125000.0,,NSTAR Electric Co,346323000.0,834719000.0,169333000.0,,13372.0,877719000.0,834719000.0,605000.0,,,,,128753000.0,,18380000.0,0.0,,1529794000.0,2414321000.0,3292040000.0,834719000.0,146028000.0,596838000.0,,,"Electric Power Generation, Transmission and Distribution",834719000.0,3337.54098,1375752000.0,,,1344877000.0,
13372,,13549000.0,,,334354000.0,956945000.0,167905000.0,,,999945000.0,956945000.0,160000.0,,,,428150000.0,102292000.0,,18630000.0,,,1365771000.0,2184856000.0,3184801000.0,956945000.0,150353000.0,457160000.0,,,,956945000.0,3826.2495,1328297000.0,,,1298846000.0,
1096835,0.0,,,Diversified Thermal Solutions Inc,,,,,1096835.0,,,,,,,,,,610000.0,1.0,,,,,,,,,,Clay Product and Refractory Manufacturing,,,,,,,
1096835,,9000.0,,,-1483000.0,-911000.0,,,,-911000.0,-911000.0,,,0.0,,-11140000.0,,,14170000.0,,,517000.0,1806000.0,895000.0,-911000.0,-1894000.0,1806000.0,,,,-911000.0,-0.05347,-9000.0,9000.0,,0.0,
1284766,1.0,,,Future Science Holdings Inc,,,,,1284766.0,,,,,,,,,,510000.0,0.0,,,,,,,,,,Metal Ore Mining,,,,,,,
1284766,,,,,,,,,1281715.0,,,,,,,,,,510000.0,,,,,,,,,,,,,,,,,,
74145,,400000.0,,Oklahoma Gas And Electric Co,236600000.0,883200000.0,119800000.0,,74145.0,925600000.0,883200000.0,20800000.0,,,,433100000.0,-66700000.0,,,,,276900000.0,1508700000.0,2434300000.0,883200000.0,121200000.0,224800000.0,,,"Electric Power Generation, Transmission and Distribution",883200000.0,21.87289,700000000.0,,,700400000.0,
74145,,400000.0,,,236600000.0,883200000.0,119800000.0,,,925600000.0,883200000.0,20800000.0,,,,433100000.0,-66700000.0,,,,,276900000.0,1508700000.0,2434300000.0,883200000.0,121200000.0,224800000.0,,,,883200000.0,21.87289,700000000.0,,,700400000.0,
1084966,0.0,651000.0,,Abviva Inc,-2638000.0,7300000.0,7000.0,,1084966.0,7300000.0,7300000.0,,,0.0,,-9561000.0,,,37540000.0,1.0,,721000.0,3358000.0,10657000.0,7300000.0,-5868000.0,3358000.0,,,Pharmaceutical and Medicine Manufacturing,7300000.0,13.28843,2191000.0,,,2842000.0,
1084966,,238000.0,,,-7798000.0,-2845000.0,197000.0,,,9660000.0,-2845000.0,,,0.0,,-24930000.0,,,15470000.0,,,358000.0,5518000.0,15177000.0,-2845000.0,-15369000.0,4886000.0,,,,-2845000.0,-2.85287,1190000.0,,,1428000.0,
1092796,1.0,69000.0,,American Outdoor Brands Corp,-1579000.0,-1372000.0,,,1092796.0,-1372000.0,-1372000.0,-22000.0,,23000.0,,-5559000.0,,,15650000.0,0.0,,284000.0,1693000.0,321000.0,-1372000.0,-1579000.0,596000.0,,,Other Fabricated Metal Product Manufacturing,-1372000.0,-0.07793,1028000.0,,,1097000.0,
1092796,,21015000.0,,,-3519000.0,-2140000.0,,,,-1154000.0,-2140000.0,3163000.0,,80555000.0,,-16939000.0,3658000.0,,56400000.0,,,54127000.0,97599000.0,96442000.0,-2140000.0,-10778000.0,23149000.0,,,,-2140000.0,-0.07209,24342000.0,,,45357000.0,
1069996,1.0,,,Fednat Holding Co,-985000.0,12161000.0,607000.0,,1069996.0,14957000.0,12161000.0,,,,,3642000.0,,,9570000.0,0.0,,,40457000.0,55413000.0,12161000.0,-523000.0,,,,Insurance Carriers,12161000.0,2.49451,,,,11304000.0,
1069996,,,,,-2809000.0,12420000.0,540000.0,,,14209000.0,12420000.0,,,,,2400000.0,,,40710000.0,,,,42020000.0,56230000.0,12420000.0,-992000.0,,,,,12420000.0,2.73267,,,,10200000.0,
1169238,0.0,,,Texas United Bancshares Inc,,17312000.0,,,1169238.0,24604000.0,17312000.0,,,,,9011000.0,,,,1.0,,,354958000.0,379562000.0,17312000.0,3037000.0,,,,Depository Credit Intermediation,17312000.0,4.65767,,,,16127000.0,
1169238,,,,,,20483000.0,,,,27372000.0,20483000.0,,,,,11342000.0,,,,,,,426257000.0,453629000.0,20483000.0,3224000.0,,,,,20483000.0,5.49866,,,,46879000.0,
1065078,1.0,4425000.0,,Network-1 Technologies Inc,-5416000.0,3556000.0,,,1065078.0,4182000.0,3556000.0,,,1147000.0,,-26482000.0,,,9570000.0,0.0,,4864000.0,1825000.0,6007000.0,3556000.0,-6674000.0,1825000.0,,,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),3556000.0,0.55146,-3755000.0,,,669000.0,
1065078,,7121000.0,,,-6689000.0,6264000.0,,,,6859000.0,6264000.0,,,1046000.0,,-34517000.0,,,1160000.0,,,7296000.0,1325000.0,8184000.0,6264000.0,-6586000.0,1325000.0,,,,6264000.0,0.92371,-7087000.0,,,0.0,
1068851,1.0,,,Prosperity Bancshares Inc,,56330000.0,,,1068851.0,80333000.0,56330000.0,,,,,45665000.0,,,218590000.0,0.0,,,1065807000.0,1146140000.0,56330000.0,10701000.0,,,,Depository Credit Intermediation,56330000.0,3.48926,,,,25931000.0,
1068851,,,,,,66084000.0,,,,88725000.0,66084000.0,,,,,55462000.0,,,309300000.0,,,,1173600000.0,1262325000.0,66084000.0,12958000.0,,,,,66084000.0,4.07652,,,,45080000.0,
1572334,1.0,,,Virginia National Bankshares Corp,,,,,1572334.0,,,,,,,,,,33240000.0,0.0,,,,,,,,,,Depository Credit Intermediation,,,,,,,
1572334,,,,,,,,,,,,,,,,,,,39110000.0,,,,,,,,,,,,,,,,,,
3906,0.0,2449000.0,,Allied Capital Corp,112717000.0,1029692000.0,,,3906.0,1036692000.0,1029692000.0,,,211589000.0,,-8265000.0,,,,1.0,,,817125000.0,1853817000.0,1029692000.0,143101000.0,,,,Other Investment Pools and Funds,1029692000.0,12.07259,791199000.0,,,786648000.0,
3906,,889000.0,,,179051000.0,1352123000.0,,,,1359123000.0,1352123000.0,,,289110000.0,,-14528000.0,,,,,,,1101590000.0,2460713000.0,1352123000.0,200727000.0,,,,,1352123000.0,13.57452,1026917000.0,,,1020806000.0,
1066764,1.0,0.0,,Spine Injury Solutions Inc,-5724000.0,-324000.0,632000.0,,1066764.0,-324000.0,-324000.0,,,566000.0,,-6417000.0,,,190000.0,0.0,,0.0,324000.0,0.0,-324000.0,-5725000.0,324000.0,,,Outpatient Care Centers,-324000.0,-2.16621,20000.0,0.0,,20000.0,
1066764,,3000.0,,,-679000.0,-439000.0,0.0,,,-439000.0,-439000.0,,,28000.0,,-7097000.0,,,490000.0,,,3000.0,443000.0,3000.0,-439000.0,-680000.0,443000.0,,,,-439000.0,-2.16118,17000.0,0.0,,20000.0,
1070423,1.0,3426000.0,,Plains All American Pipeline LP,47229000.0,211777000.0,24523000.0,,1070423.0,213999000.0,211777000.0,-11954000.0,,6641187000.0,,,,,702150000.0,0.0,,397904000.0,671802000.0,885801000.0,211777000.0,77502000.0,350793000.0,,,Pipeline Transportation of Crude Oil,211777000.0,3.68723,321074000.0,,,321300000.0,
1070423,,3511000.0,,,72352000.0,375615000.0,24307000.0,,,402797000.0,375615000.0,-117878000.0,,6821157000.0,,,,,778750000.0,,,558082000.0,858454000.0,1261251000.0,375615000.0,44179000.0,505160000.0,,,,375615000.0,4.99696,466240000.0,,,456159000.0,
842294,0.0,1019000.0,,Excel Maritime Carriers LLC,9108000.0,23831000.0,932000.0,,842294.0,23831000.0,23831000.0,-32000.0,,32204000.0,,11609000.0,545000.0,,41040000.0,1.0,,5021000.0,26995000.0,50826000.0,23831000.0,10058000.0,15241000.0,,,"Deep Sea, Coastal, and Great Lakes Water Transportation",23831000.0,2.05243,21741000.0,,,22760000.0,
842294,,39729000.0,,,5418000.0,28577000.0,1419000.0,,,28977000.0,28577000.0,478000.0,,25938000.0,,18542000.0,-223000.0,,16370000.0,,,41908000.0,26488000.0,55465000.0,28577000.0,6933000.0,26488000.0,,,,28577000.0,2.46118,-16512000.0,,,23217000.0,
1051251,,32930000.0,,J Crew Group Inc,56071000.0,-278347000.0,,,1051251.0,-278347000.0,-278347000.0,-10739000.0,,787658000.0,,-345733000.0,8754000.0,,,,,197337000.0,668208000.0,389861000.0,-278347000.0,11929000.0,147855000.0,,,Clothing Stores,-278347000.0,-12.2444,431380000.0,,,464310000.0,
1051251,,16201000.0,,,20001000.0,-319043000.0,,,,-319043000.0,-319043000.0,1749000.0,,741280000.0,,-387186000.0,16998000.0,,,,,182145000.0,720363000.0,401320000.0,-319043000.0,-11011000.0,142981000.0,,,,-319043000.0,-14.02801,493946000.0,,,510147000.0,
1026743,,,,Omnimax Holdings Inc,,,,,1026743.0,,,,,,,,,,,,,,,,,,,,,Alumina and Aluminum Production and Processing,,,,,,,
50471,1.0,218000.0,,Park City Group Inc,-276000.0,-6744000.0,,,50471.0,-6089000.0,-6744000.0,,,1495000.0,,-8089000.0,326000.0,,14550000.0,0.0,,1179000.0,9453000.0,3361000.0,-6744000.0,-630000.0,4663000.0,,,Software Publishers,-6744000.0,-2.2589,6408000.0,218000.0,,6626000.0,
50471,,218000.0,,,-276000.0,-6744000.0,,,,-6089000.0,-6744000.0,,,1495000.0,,-8089000.0,326000.0,,3250000.0,,,1179000.0,9453000.0,3361000.0,-6744000.0,-630000.0,4663000.0,,,,-6744000.0,-2.2589,6408000.0,218000.0,,6626000.0,
1088034,1.0,7186000.0,,Usio Inc,-20503000.0,10959000.0,941000.0,,1088034.0,11011000.0,10959000.0,,,650000.0,,-25776000.0,0.0,,20040000.0,0.0,,8850000.0,4279000.0,15292000.0,10959000.0,-20008000.0,3558000.0,,,Activities Related to Credit Intermediation,10959000.0,10.58749,-5357000.0,,,1829000.0,
1088034,,4411000.0,,,-3271000.0,9712000.0,199000.0,,,9749000.0,9712000.0,,,44000.0,,-36181000.0,0.0,,3710000.0,,,7256000.0,1667000.0,11415000.0,9712000.0,-2919000.0,1505000.0,,,,9712000.0,7.09371,-4263000.0,,,148000.0,
1068963,1.0,,,Western Asset Corporate Loan Fund Inc,,,,,1068963.0,,,,,,,,,,124620000.0,0.0,,,,,,,,,,Other Investment Pools and Funds,,,,,,,
1068963,,,,,,,,,,,,,,,,,,,113670000.0,,,,,,,,,,,,,,,,,,
1064122,0.0,,,Scottish Re Group Ltd,15922000.0,236654000.0,,,1064122.0,239564000.0,236654000.0,,,,,19459000.0,,,302150000.0,1.0,,,928954000.0,1168518000.0,236654000.0,15971000.0,,,,Insurance Carriers,236654000.0,15.15629,,,,0.0,
1064122,,,,,17304000.0,300312000.0,,,,331282000.0,300312000.0,,,,,33165000.0,,,469880000.0,,,,1810284000.0,2141566000.0,300312000.0,17245000.0,,,,,300312000.0,14.90755,,,,65145000.0,
1080360,0.0,,,China Valves Technology Inc,,,,,1080360.0,,,,,,,,,,43720000.0,1.0,,,,,,,,,,Other Fabricated Metal Product Manufacturing,,,,,,,
1080360,,,,,,,,,,,,,,,,,,,4360000.0,,,,,,,,,,,,,,,,,,
100826,1.0,15000000.0,,Union Electric Co,681000000.0,2654000000.0,280000000.0,,100826.0,2809000000.0,2654000000.0,-22000000.0,,,,1440000000.0,11000000.0,,,0.0,,578000000.0,4479000000.0,7288000000.0,2654000000.0,374000000.0,850000000.0,,,"Electric Power Generation, Transmission and Distribution",2654000000.0,25.99412,2017000000.0,,,1877000000.0,
100826,,9000000.0,,,873000000.0,2632000000.0,431000000.0,,,2745000000.0,2632000000.0,-4000000.0,,,,1477000000.0,-86000000.0,,7930000.0,,,518000000.0,5358000000.0,8103000000.0,2632000000.0,382000000.0,957000000.0,,,,2632000000.0,25.77865,2186000000.0,,,2082000000.0,
1679426,1.0,,,Americatowne Holdings Inc,,,,,1679426.0,,,,,,,,,,14170000.0,0.0,,,,,,,,,,Architectural and Structural Metals Manufacturing,,,,,,,
1679426,,,,,,,,,,,,,,,,,,,14170000.0,,,,,,,,,,,,,,,,,,
896726,0.0,4049000.0,,GeoGlobal Resources Inc,-177000.0,4057000.0,,,896726.0,4057000.0,4057000.0,,,0.0,,-6233000.0,,,2760000.0,1.0,,4159000.0,224000.0,4279000.0,4057000.0,-1642000.0,224000.0,,,Oil and Gas Extraction,4057000.0,0.3084,-4049000.0,,,0.0,
896726,,4049000.0,,,-177000.0,4057000.0,,,1078681.0,4057000.0,4057000.0,,,0.0,,-6233000.0,,,5360000.0,,,4159000.0,224000.0,4279000.0,4057000.0,-1642000.0,224000.0,,,,4057000.0,0.3084,-4049000.0,,,0.0,
840573,0.0,63000.0,,Biolok International Inc,606000.0,1275000.0,,,840573.0,1275000.0,1275000.0,-46000.0,,2442000.0,,-1008000.0,,,,1.0,,1838000.0,1179000.0,2454000.0,1275000.0,506000.0,756000.0,,,Medical Equipment and Supplies Manufacturing,1275000.0,0.20952,1035000.0,,,1098000.0,
840573,,55000.0,,,246000.0,2406000.0,,,,2406000.0,2406000.0,-24000.0,,2761000.0,,123000.0,29000.0,,,,,2483000.0,1522000.0,3927000.0,2406000.0,1131000.0,1297000.0,,,,2406000.0,0.39538,1049000.0,,,1104000.0,
1095070,0.0,31580000.0,,Brek Energy Corp,-12811000.0,35460000.0,,,1095070.0,35460000.0,35460000.0,,,38000.0,,-24598000.0,-56000.0,,,1.0,,32283000.0,510000.0,35970000.0,35460000.0,-17809000.0,510000.0,,,Oil and Gas Extraction,35460000.0,1.84591,-31580000.0,,,0.0,
1095070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006637,,,,Ticketmaster Entertainment LLC,,,,,1006637.0,,,,,,,,,,,,,,,,,,,,,Other Information Services,,,,,,,
1076462,0.0,2000.0,,Alphatrade.Com,-3533000.0,-776000.0,41000.0,,1076462.0,-774000.0,-776000.0,,,324000.0,,-5820000.0,0.0,,1370000.0,1.0,,63000.0,998000.0,224000.0,-776000.0,-3646000.0,998000.0,,,Other Information Services,-776000.0,-2.31104,540000.0,,,540000.0,
1076462,,30000.0,,,-4187000.0,-629000.0,,,,-627000.0,-629000.0,,,514000.0,,-15473000.0,,,2820000.0,,,48000.0,756000.0,129000.0,-629000.0,-4236000.0,756000.0,,,,-629000.0,-0.06692,252000.0,,,280000.0,
1039889,0.0,6390000.0,,P.F. Chang's China Bistro Inc,17933000.0,69956000.0,7867000.0,,1039889.0,77342000.0,69956000.0,-598000.0,,234905000.0,,10575000.0,583000.0,,564950000.0,1.0,,11977000.0,38584000.0,115926000.0,69956000.0,9729000.0,18730000.0,,,Full-Service Restaurants,69956000.0,3.34617,11353000.0,,,16692000.0,
