Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
1020477,1.0,,,Rotate Black Inc,,,,,1020477.0,,,,,,,,,,,0.0,,,,,,,,,,Traveler Accommodation,,,,,,,
1039151,0.0,25524000.0,,Kendle International LLC,7304000.0,56213000.0,9988000.0,,1039151.0,142307000.0,56213000.0,,,194499000.0,,17322000.0,1262000.0,,112470000.0,1.0,,90440000.0,61744000.0,204051000.0,56213000.0,4206000.0,53776000.0,,,Scientific Research and Development Services,56213000.0,4.53985,-9307000.0,,,16217000.0,
1039151,,29975000.0,,,-60349000.0,57327000.0,8347000.0,,,94360000.0,57327000.0,,,214014000.0,,-37478000.0,-964000.0,,82800000.0,,,84368000.0,61037000.0,155397000.0,57327000.0,-54800000.0,42917000.0,,,,57327000.0,4.46416,-8739000.0,,,21236000.0,
1433533,0.0,1345103.0,,Uranium One Inc,-734314.0,14569326.0,,,1433533.0,14569326.0,14569326.0,,,,,-2649368.0,,,26800000.0,1.0,,1404787.0,5348369.0,19917695.0,14569326.0,-734314.0,332349.0,,,Metal Ore Mining,14569326.0,0.523321,3657724.0,,,5002826.0,
1433533,,255056.0,,,-393775.0,15441410.0,,,1337523.0,15441410.0,15441410.0,,,,,-3075943.0,,,57570000.0,,,312937.0,5419155.0,20860565.0,15441410.0,-394412.0,5419155.0,,,,15441410.0,0.507066,4758298.0,,,5013354.0,
1433533,,,,,,,,,1067129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358697,,,,Sterling Banks Inc,,,,,1358697.0,,,,,,,,,,,,,,,,,,,,,Depository Credit Intermediation,,,,,,,
1031980,1.0,527000.0,,Former NT Corp,-1780000.0,489000.0,,,1031980.0,1494000.0,489000.0,-288000.0,,3482000.0,,-21320000.0,263000.0,,3820000.0,0.0,,2444000.0,1110000.0,2603000.0,489000.0,-1742000.0,1110000.0,,,Software Publishers,489000.0,16.90871,478000.0,,,0.0,
1031980,,557000.0,,,-954000.0,-598000.0,,,,396000.0,-598000.0,400000.0,,8341000.0,,-22420000.0,-318000.0,,1280000.0,,,1623000.0,1475000.0,1870000.0,-598000.0,-1100000.0,1444000.0,,,,-598000.0,-20.50051,645000.0,,,208000.0,
1041803,1.0,28112000.0,,PriceSmart Inc,13993000.0,130426000.0,0.0,,1041803.0,173411000.0,130426000.0,-8000000.0,,628528000.0,,7520000.0,5936000.0,,154230000.0,0.0,,127799000.0,215327000.0,388738000.0,130426000.0,11435000.0,114609000.0,,,Other General Merchandise Stores,130426000.0,19.22406,125132000.0,,,123151000.0,
