Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
1750,1.0,34522000.0,,AAR Corp,-81289000.0,264329000.0,,,1750.0,310235000.0,264329000.0,-31749000.0,,638721000.0,,156479000.0,-25261000.0,,164000000.0,0.0,,436656000.0,399964000.0,710199000.0,264329000.0,-58939000.0,150464000.0,,,Aerospace Product and Parts Manufacturing,264329000.0,8.29398,225702000.0,,,260224000.0,
1750,,29154000.0,,,908000.0,249037000.0,,,,294988000.0,249037000.0,17755000.0,,599842000.0,,143272000.0,-2841000.0,,479090000.0,,,396412000.0,391633000.0,686621000.0,249037000.0,-12410000.0,203575000.0,,,,249037000.0,7.81881,227760000.0,,,256914000.0,
61478,0.0,279400000.0,,CommScope Connectivity LLC,-712100000.0,710200000.0,,,61478.0,732200000.0,710200000.0,80600000.0,,819500000.0,,-673300000.0,-77100000.0,,1664800000.0,1.0,,686300000.0,412000000.0,1144200000.0,710200000.0,-980200000.0,397800000.0,,,Communications Equipment Manufacturing,710200000.0,6.21767,-252900000.0,,,26500000.0,
61478,,745400000.0,,,-54000000.0,614900000.0,,,,627700000.0,614900000.0,9400000.0,,579800000.0,,-750000000.0,-29500000.0,,2390430000.0,,,1032200000.0,669200000.0,1296900000.0,614900000.0,-39800000.0,266800000.0,,,,614900000.0,5.33662,-337400000.0,,,408000000.0,
319126,1.0,516000.0,,Health Sciences Corp,392000.0,1526000.0,,,319126.0,2823000.0,1526000.0,331000.0,,20087000.0,,-8823000.0,376000.0,,1390000.0,0.0,,5951000.0,5028000.0,7849000.0,1526000.0,84000.0,3847000.0,,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1526000.0,82.30852,2358000.0,,,2874000.0,
319126,,658000.0,,,0.0,1321000.0,,,,1321000.0,1321000.0,334000.0,,18044000.0,,-10338000.0,-360000.0,,6030000.0,,,5489000.0,4724000.0,6044000.0,1321000.0,-1515000.0,3985000.0,,,,1321000.0,71.25135,2115000.0,,,2773000.0,
730469,0.0,14735000.0,,Alpharma LLC,14951000.0,-240200000.0,,,730469.0,889756000.0,-240200000.0,-41620000.0,,969286000.0,,81099000.0,,,,1.0,,662521000.0,1500252000.0,2390008000.0,-240200000.0,-37702000.0,345015000.0,,,Other Investment Pools and Funds,-240200000.0,-5.41994,1045857000.0,,,1060592000.0,
730469,,23872000.0,,,-77140000.0,-44897000.0,,,,1001843000.0,-44897000.0,-949000.0,,1230762000.0,,-27797000.0,,,,,,671429000.0,1295081000.0,2296924000.0,-44897000.0,-99661000.0,378601000.0,,,,-44897000.0,-0.87272,871986000.0,,,895858000.0,
6201,1.0,2488000000.0,,American Airlines Group Inc,-2470000000.0,2656000000.0,1404000000.0,,6201.0,5373000000.0,2656000000.0,-39000000.0,,18969000000.0,,4188000000.0,,,,0.0,,6571000000.0,27468000000.0,32841000000.0,2656000000.0,-1762000000.0,7512000000.0,,,Scheduled Air Transportation,2656000000.0,17.18472,8118000000.0,102000000.0,,10606000000.0,
6201,,1950000000.0,,,-3330000000.0,-335000000.0,1366000000.0,,,957000000.0,-335000000.0,48000000.0,,17420000000.0,,677000000.0,,,,,,4937000000.0,29310000000.0,30267000000.0,-335000000.0,-3511000000.0,7240000000.0,,,,-335000000.0,-2.1462,11228000000.0,104000000.0,,13178000000.0,
65695,,0.0,,ANR Pipeline Co,-113000000.0,696000000.0,35000000.0,,65695.0,696000000.0,696000000.0,,,613000000.0,,228000000.0,31000000.0,,,,,405000000.0,1103000000.0,1799000000.0,696000000.0,-38000000.0,187000000.0,,,Pipeline Transportation of Natural Gas,696000000.0,696000.0,498000000.0,,,498000000.0,
65695,,0.0,,,221000000.0,1183000000.0,36000000.0,,,1183000000.0,1183000000.0,,,544000000.0,,584000000.0,-37000000.0,,,,,89000000.0,1196000000.0,2379000000.0,1183000000.0,163000000.0,170000000.0,,,,1183000000.0,1183000.0,511000000.0,,,511000000.0,
3197,1.0,53000.0,,CECO Environmental Corp,3048000.0,-2173000.0,2100000.0,,3197.0,9821000.0,-2173000.0,-72000.0,,90809000.0,,-4214000.0,,,17740000.0,0.0,,26587000.0,43209000.0,53030000.0,-2173000.0,-380000.0,18524000.0,,,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",-2173000.0,-0.22602,21361000.0,,,21414000.0,
3197,,194000.0,,,2209000.0,-3110000.0,1479000.0,,,8706000.0,-3110000.0,689000.0,,78575000.0,,-5042000.0,,,16470000.0,,,20561000.0,36808000.0,45514000.0,-3110000.0,-306000.0,15537000.0,,,,-3110000.0,-0.3243,18128000.0,,,18322000.0,
2601,0.0,38559000.0,,Aeroflex Inc,10888000.0,211488000.0,1362000.0,,2601.0,249482000.0,211488000.0,2508000.0,,171531000.0,,19263000.0,,,,1.0,,194201000.0,68983000.0,318465000.0,211488000.0,-10781000.0,49305000.0,,,Semiconductor and Other Electronic Component Manufacturing,211488000.0,3.52468,-23750000.0,,,14809000.0,
2601,,51307000.0,,,16902000.0,225461000.0,2721000.0,,,258415000.0,225461000.0,-1866000.0,,265807000.0,,25658000.0,,,,,,211238000.0,72847000.0,331262000.0,225461000.0,6395000.0,49313000.0,,,,225461000.0,3.75031,-42037000.0,,,9270000.0,
1230869,1.0,6158000.0,,ASA Gold and Precious Metals Ltd,9606000.0,210944000.0,,,1230869.0,210944000.0,210944000.0,,,11902000.0,,168400000.0,,,393410000.0,0.0,,,962000.0,211907000.0,210944000.0,,,,,Other Investment Pools and Funds,210944000.0,7.32444,-6158000.0,6158000.0,,0.0,
1230869,,8225000.0,,,8119000.0,321423000.0,,,,321423000.0,321423000.0,,,10922000.0,,173776000.0,,,436800000.0,,,,3970000.0,325393000.0,321423000.0,,,,,,321423000.0,11.16052,-8225000.0,8225000.0,,0.0,
859163,1.0,601910000.0,,AVX Corp,-25069000.0,1408722000.0,,,859163.0,1476035000.0,1408722000.0,96435000.0,,1249980000.0,,1184875000.0,,,1706100000.0,0.0,,1150868000.0,215564000.0,1691599000.0,1408722000.0,-7232000.0,194677000.0,,,Semiconductor and Other Electronic Component Manufacturing,1408722000.0,8.06463,-586577000.0,,,15333000.0,
859163,,504866000.0,,,-25869000.0,1394953000.0,,,,1463156000.0,1394953000.0,13071000.0,,1134111000.0,,1146291000.0,,,2885180000.0,,,1077957000.0,237357000.0,1700513000.0,1394953000.0,-12438000.0,185557000.0,,,,1394953000.0,8.028,-501444000.0,,,3422000.0,
764622,1.0,28619000.0,,Pinnacle West Capital Corp,676023000.0,2412541000.0,427903000.0,,764622.0,2499323000.0,2412541000.0,-16867000.0,,,,1032850000.0,-128017000.0,,2890010000.0,0.0,,727405000.0,5440076000.0,7939399000.0,2412541000.0,312166000.0,1085506000.0,,,"Electric Power Generation, Transmission and Distribution",2412541000.0,28.47542,3176361000.0,,,3204980000.0,
764622,,77566000.0,,,550743000.0,2576338000.0,422299000.0,,772527.0,2686153000.0,2576338000.0,-11599000.0,,,,1044537000.0,17008000.0,,3652820000.0,,,860372000.0,6453004000.0,9139157000.0,2576338000.0,149408000.0,1233096000.0,,,,2576338000.0,28.23226,3174746000.0,,,3252312000.0,
706688,1.0,93000.0,,Aaron's Inc,26113000.0,197871000.0,137900000.0,,706688.0,219967000.0,197871000.0,,,546681000.0,,197321000.0,,,478950000.0,0.0,,,177229000.0,397196000.0,197871000.0,12336000.0,,,,Consumer Goods Rental,197871000.0,2.93581,77620000.0,,,77713000.0,
706688,,96000.0,,,48419000.0,254560000.0,162660000.0,,,280545000.0,254560000.0,,,640688000.0,,217589000.0,,,650200000.0,,,,203103000.0,483648000.0,254560000.0,27440000.0,,,,,254560000.0,3.47338,73169000.0,,,73265000.0,
