Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1020477,,,Traveler Accommodation,,0.0,,,,,Rotate Black Inc,1020477.0,,,,,,,27490000.0,,,,1.0,,,,
1039151,172159000.0,1010000.0,Scientific Research and Development Services,,1.0,18499000.0,136990000.0,226540000.0,342264000.0,Kendle International LLC,1039151.0,212624000.0,-44594000.0,-44594000.0,23143000.0,-44594000.0,35169000.0,272480000.0,-3.0053,678581000.0,56826000.0,0.0,-44594000.0,554888000.0,15253000.0,157945000.0
1433533,179317000.0,,Metal Ore Mining,-910000.0,1.0,-2502660000.0,3092000.0,264742000.0,676595000.0,Uranium One Inc,1433533.0,950538000.0,950538000.0,950538000.0,-2333587000.0,950538000.0,176225000.0,1773720000.0,2.02409,149776000.0,-3290940000.0,0.0,950538000.0,1627133000.0,,60062000.0
1433533,,,,,,,,,,,1337523.0,,,,,,,,,,,,,,,
1433533,,,,,,,,,,,1067129.0,,,,,,,,,,,,,,,
1358697,,,Depository Credit Intermediation,,,,,,,Sterling Banks Inc,1358697.0,,,,,,,,,,,,,,,
1031980,10680.0,35300.0,Software Publishers,,0.0,-24591580.0,-1554770.0,2416530.0,3814590.0,Former NT Corp,1031980.0,-1135340.0,-1135340.0,-1135340.0,70690.0,-1135340.0,1565450.0,8160000.0,-16.13157,6032260.0,63790.0,1.0,-1135340.0,2679250.0,,3670800.0
1041803,44013000.0,5293000.0,Other General Merchandise Stores,-1947000.0,0.0,-49998000.0,590000.0,184782000.0,186975000.0,PriceSmart Inc,1041803.0,300398000.0,262860000.0,262860000.0,42584000.0,262860000.0,44193000.0,608030000.0,8.85616,1251628000.0,57484000.0,1.0,262860000.0,487373000.0,,141928000.0
1085243,12650.0,-81000.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",,0.0,-6598400.0,-89310.0,805510.0,2131510.0,VirTra Inc,1085243.0,5368790.0,-1231210.0,-1231210.0,9252000.0,-1231210.0,101960.0,10540000.0,-0.18079,2424000.0,2180000.0,1.0,-1231210.0,7500300.0,,2131510.0
817473,4650000000.0,,Other Financial Investment Activities,,1.0,76000000.0,4441000000.0,,4755000000.0,Acas LLC,817473.0,3155000000.0,3155000000.0,3155000000.0,-3115000000.0,3155000000.0,209000000.0,711560000.0,15.4128,1051000000.0,530000000.0,0.0,3155000000.0,7910000000.0,,
