Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
1750,1.0,8250000.0,,AAR Corp,77381000.0,285942000.0,,,1750.0,326035000.0,285942000.0,-46212000.0,,1050608000.0,,184529000.0,24659000.0,,481230000.0,0.0,,508186000.0,400595000.0,726630000.0,285942000.0,41671000.0,173586000.0,,,Aerospace Product and Parts Manufacturing,285942000.0,10.44308,173109000.0,,,181359000.0,
1750,,1241000.0,,,70658000.0,297654000.0,,,,336494000.0,297654000.0,-6644000.0,,1024333000.0,,210474000.0,-21536000.0,,339060000.0,,,511267000.0,401483000.0,737977000.0,297654000.0,35163000.0,163816000.0,,,,297654000.0,11.07962,205520000.0,,,206761000.0,
61478,0.0,534500000.0,,CommScope Connectivity LLC,135000000.0,1358300000.0,22200000.0,,61478.0,1595300000.0,1358300000.0,-66700000.0,,2151800000.0,,899200000.0,45000000.0,,10975190000.0,1.0,,1376600000.0,462500000.0,2057800000.0,1358300000.0,77900000.0,448500000.0,,,Communications Equipment Manufacturing,1358300000.0,14.01205,-484600000.0,,,49900000.0,
61478,,1354200000.0,,,365900000.0,2394000000.0,34300000.0,,,2912700000.0,2394000000.0,-207800000.0,,3287900000.0,,1759400000.0,83600000.0,,13991590000.0,,,2650900000.0,1057800000.0,3970500000.0,2394000000.0,868100000.0,1041300000.0,,,,2394000000.0,21.75625,-1329500000.0,,,24700000.0,
319126,1.0,249000.0,,Health Sciences Corp,-1682000.0,2404000.0,,,319126.0,5208000.0,2404000.0,665000.0,,29370000.0,,-6361000.0,-300000.0,,3480000.0,0.0,,9758000.0,8778000.0,13986000.0,2404000.0,-2207000.0,2804000.0,,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",2404000.0,129.66559,6153000.0,,,6402000.0,
319126,,434000.0,,,-329000.0,1892000.0,,,,4455000.0,1892000.0,1017000.0,,25367000.0,,-7169000.0,199000.0,,2690000.0,,,7884000.0,7154000.0,11607000.0,1892000.0,-808000.0,2279000.0,,,,1892000.0,102.04962,4636000.0,,,5070000.0,
730469,0.0,14414000.0,,Alpharma LLC,62651000.0,-48430000.0,,,730469.0,267279000.0,-48430000.0,1255000.0,,600282000.0,,56649000.0,,,,1.0,,335484000.0,641657000.0,908936000.0,-48430000.0,22781000.0,170437000.0,,,Other Investment Pools and Funds,-48430000.0,-1.79517,468594000.0,,,483008000.0,
730469,,17655000.0,,,83910000.0,-145435000.0,,,,343523000.0,-145435000.0,-26526000.0,,716010000.0,,80150000.0,,,,,,373462000.0,808333000.0,1151856000.0,-145435000.0,29992000.0,164276000.0,,,,-145435000.0,-4.86563,587529000.0,,,605184000.0,
6201,1.0,1535000000.0,,American Airlines Group Inc,1988000000.0,5470000000.0,1040000000.0,,6201.0,6698000000.0,5470000000.0,-36000000.0,,17516000000.0,,4733000000.0,,,,0.0,,3969000000.0,14757000000.0,21455000000.0,5470000000.0,1114000000.0,5302000000.0,,,Scheduled Air Transportation,5470000000.0,33.90123,2867000000.0,87000000.0,,4402000000.0,
6201,,1791000000.0,,,1156000000.0,5667000000.0,1092000000.0,,,6858000000.0,5667000000.0,-140000000.0,,17730000000.0,,5718000000.0,,,,,,4424000000.0,17516000000.0,24374000000.0,5667000000.0,656000000.0,5864000000.0,,,,5667000000.0,38.22735,4436000000.0,85000000.0,,6227000000.0,
65695,,,,ANR Pipeline Co,,,,,65695.0,,,,,,,,,,,,,,,,,,,,,Pipeline Transportation of Natural Gas,,,,,,,
3197,1.0,1061000.0,,CECO Environmental Corp,1882000.0,1117000.0,582000.0,,3197.0,7557000.0,1117000.0,257000.0,,21753000.0,,-2317000.0,,,,0.0,,6571000.0,7917000.0,15476000.0,1117000.0,533000.0,6197000.0,,,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",1117000.0,0.13315,2244000.0,,,3155000.0,
