Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1383729,0.0,4094000.0,Professional and Commercial Equipment and Supplies Merchant Wholesalers,-10591000.0,1.0,-108785000.0,-238351000.0,388148000.0,117031000.0,Fusion-Io LLC,1383729.0,490417000.0,312682000.0,312682000.0,-38226000.0,312682000.0,238351000.0,1212760000.0,3.1737,432386000.0,-36916000.0,0.0,312682000.0,607448000.0,4490000.0,83443000.0
1121680,0.0,860000.0,Couriers and Express Delivery Services,,,-96931000.0,105798000.0,16889000.0,28533000.0,Newgistics Inc,1121680.0,19721000.0,-101826000.0,-101826000.0,21430000.0,-101826000.0,2132000.0,,-1.3383,174562000.0,13387000.0,,-101826000.0,48254000.0,,11303000.0
1366684,316181000.0,2491000.0,Other Information Services,,1.0,-62734000.0,-487246000.0,864945000.0,598320000.0,HomeAway Inc,1366684.0,931808000.0,367681000.0,367681000.0,13967000.0,367681000.0,813169000.0,3442410000.0,3.89017,446762000.0,40026000.0,0.0,367681000.0,1530128000.0,25917000.0,230402000.0
1311230,200014000.0,1610000.0,Grain and Oilseed Milling,-2696000.0,1.0,-468458000.0,-7294000.0,233927000.0,226213000.0,TerraVia Holdings Inc,1311230.0,86376000.0,86376000.0,86376000.0,-162141000.0,86376000.0,207308000.0,198870000.0,1.08802,35962000.0,-136485000.0,0.0,86376000.0,312589000.0,,23454000.0
1280363,0.0,,Semiconductor and Other Electronic Component Manufacturing,,,161000.0,-21231000.0,37895000.0,41844000.0,Apache Design Inc,1280363.0,10867000.0,-4673000.0,-4673000.0,3304000.0,-4673000.0,27227000.0,,-0.421,44047000.0,5676000.0,,-4673000.0,52711000.0,,33249000.0
1508913,1635000000.0,83451000.0,Other Information Services,,1.0,370556000.0,44700000.0,2096149000.0,2302972000.0,Qihoo 360 Technology Co Ltd,1508913.0,1028598000.0,493572000.0,493572000.0,216163000.0,493572000.0,1703970000.0,7358270000.0,2.55186,1390660000.0,259493000.0,0.0,493572000.0,3331570000.0,,540229000.0
1509986,172500000.0,10644000.0,Other Information Services,-1143000.0,1.0,,-39571000.0,420308000.0,332025000.0,Link Motion Inc,1509986.0,501783000.0,147468000.0,147468000.0,-78612000.0,147468000.0,269199000.0,373930000.0,0.3353,332324000.0,-86922000.0,0.0,147468000.0,833808000.0,,93238000.0
1164975,120000.0,-2522000.0,Semiconductor and Other Electronic Component Manufacturing,-703000.0,,-112779000.0,185128000.0,81847000.0,24739000.0,Cortina Systems Inc,1164975.0,127213000.0,-155504000.0,-155504000.0,-10716000.0,-155504000.0,40924000.0,,-4.2782,141086000.0,-10351000.0,,-155504000.0,151952000.0,,18943000.0
773717,2349600.0,801780.0,Metal Ore Mining,,0.0,-52068130.0,12313500.0,95110.0,5483590.0,Cambrian Minerals Group Inc,773717.0,33290680.0,23290680.0,23290680.0,-16240410.0,23290680.0,36100.0,3120000.0,0.22468,0.0,-16063070.0,1.0,23290680.0,38774270.0,17610.0,5483590.0
1502774,7401460.0,869300.0,Oil and Gas Extraction,,0.0,-17957920.0,13285710.0,5740.0,13590090.0,Rio Bravo Oil Inc,1502774.0,-5850480.0,-11734730.0,-11734730.0,-14127160.0,-11734730.0,0.0,990000.0,-0.36104,120150.0,-13315980.0,0.0,-11734730.0,7739610.0,10730750.0,9458400.0
1515980,3436503000.0,,Nondepository Credit Intermediation,,1.0,-7712000.0,3322129000.0,,3562101000.0,Apollo Residential Mortgage Inc,1515980.0,785952000.0,785883000.0,785883000.0,96055000.0,785883000.0,114443000.0,380640000.0,24.49145,149546000.0,96055000.0,0.0,785883000.0,4348053000.0,,
1128725,53434000.0,,Computer Systems Design and Related Services,-989000.0,0.0,-56736000.0,48193000.0,27670000.0,85628000.0,InterCloud Systems Inc,1128725.0,36011000.0,-22282000.0,-22282000.0,-18818000.0,-22282000.0,5470000.0,25980000.0,-497.58821,73751000.0,-31569000.0,1.0,-22282000.0,121639000.0,3352000.0,40688000.0
